2017-12-25 21:29:54,041 : Finished building computation graph for training.
2017-12-25 21:29:56,460 : Read in training data successfully.
2017-12-25 21:29:56.484243: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-12-25 21:29:57.930144: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.873
pciBusID: 0000:03:00.0
totalMemory: 7.92GiB freeMemory: 7.80GiB
2017-12-25 21:29:57.930173: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:03:00.0, compute capability: 6.1)
2017-12-25 21:29:58,550 : Epoch 0 started:
2017-12-25 21:29:59,119 : Iter 0, training loss: 879.649063
2017-12-25 21:30:01,366 : Iter 10, training loss: 740.482834
2017-12-25 21:30:03,598 : Iter 20, training loss: 832.636775
2017-12-25 21:30:06,001 : Iter 30, training loss: 790.326968
2017-12-25 21:30:08,289 : Iter 40, training loss: 850.752129
2017-12-25 21:30:10,319 : Iter 50, training loss: 821.539203
2017-12-25 21:30:12,520 : Iter 60, training loss: 755.916304
2017-12-25 21:30:14,564 : Iter 70, training loss: 706.188104
2017-12-25 21:30:16,857 : Iter 80, training loss: 646.456448
2017-12-25 21:30:18,986 : Iter 90, training loss: 604.177228
2017-12-25 21:30:21,269 : Iter 100, training loss: 562.890896
2017-12-25 21:30:23,635 : Iter 110, training loss: 529.904236
2017-12-25 21:30:25,805 : Iter 120, training loss: 497.568542
2017-12-25 21:30:28,254 : Iter 130, training loss: 470.704599
2017-12-25 21:30:30,348 : Iter 140, training loss: 446.749363
2017-12-25 21:30:32,849 : Iter 150, training loss: 424.942084
2017-12-25 21:30:35,087 : Iter 160, training loss: 404.080889
2017-12-25 21:30:37,494 : Iter 170, training loss: 385.709668
2017-12-25 21:30:40,051 : Iter 180, training loss: 370.810749
