/usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/gradients_impl.py:96: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-12-25 21:48:49,926 : Finished building computation graph for training.
2017-12-25 21:48:52,522 : Read in training data successfully.
2017-12-25 21:48:52.548060: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-12-25 21:48:53.373907: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.873
pciBusID: 0000:03:00.0
totalMemory: 7.92GiB freeMemory: 7.80GiB
2017-12-25 21:48:53.373940: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:03:00.0, compute capability: 6.1)
2017-12-25 21:48:54,127 : Epoch 0 started:
2017-12-25 21:48:54,682 : Iter 0, training loss: 691.230469
2017-12-25 21:48:57,235 : Iter 10, training loss: 867.309006
2017-12-25 21:48:59,883 : Iter 20, training loss: 881.758103
2017-12-25 21:49:02,462 : Iter 30, training loss: 856.621355
2017-12-25 21:49:05,001 : Iter 40, training loss: 789.425937
2017-12-25 21:49:07,402 : Iter 50, training loss: 724.771078
2017-12-25 21:49:09,796 : Iter 60, training loss: 664.980728
2017-12-25 21:49:12,203 : Iter 70, training loss: 598.154978
2017-12-25 21:49:14,715 : Iter 80, training loss: 549.613556
2017-12-25 21:49:17,255 : Iter 90, training loss: 526.959913
2017-12-25 21:49:19,926 : Iter 100, training loss: 492.184726
2017-12-25 21:49:22,266 : Iter 110, training loss: 459.753986
2017-12-25 21:49:24,846 : Iter 120, training loss: 434.196408
2017-12-25 21:49:27,473 : Iter 130, training loss: 417.209818
2017-12-25 21:49:30,076 : Iter 140, training loss: 398.158764
2017-12-25 21:49:32,614 : Iter 150, training loss: 380.968764
2017-12-25 21:49:35,325 : Iter 160, training loss: 362.289495
2017-12-25 21:49:37,788 : Iter 170, training loss: 347.182282
2017-12-25 21:49:40,300 : Iter 180, training loss: 332.836670
2017-12-25 21:49:42,748 : Iter 190, training loss: 321.127792
2017-12-25 21:49:45,236 : Iter 200, training loss: 309.442341
2017-12-25 21:49:47,632 : Iter 210, training loss: 299.073042
2017-12-25 21:49:50,118 : Iter 220, training loss: 288.503824
2017-12-25 21:49:52,666 : Iter 230, training loss: 279.077400
2017-12-25 21:49:55,177 : Iter 240, training loss: 270.454425
2017-12-25 21:49:57,682 : Iter 250, training loss: 262.597466
2017-12-25 21:50:00,226 : Iter 260, training loss: 255.256577
2017-12-25 21:50:02,858 : Iter 270, training loss: 249.061794
2017-12-25 21:50:05,344 : Iter 280, training loss: 242.487595
2017-12-25 21:50:07,774 : Iter 290, training loss: 236.159430
2017-12-25 21:50:10,202 : Iter 300, training loss: 230.941901
2017-12-25 21:50:12,566 : Iter 310, training loss: 225.075073
2017-12-25 21:50:15,028 : Iter 320, training loss: 220.213024
2017-12-25 21:50:17,585 : Iter 330, training loss: 215.705332
2017-12-25 21:50:20,079 : Iter 340, training loss: 211.143110
2017-12-25 21:50:22,619 : Iter 350, training loss: 206.679125
2017-12-25 21:50:23,829 : Epoch 0, training loss: 204.749534
2017-12-25 21:50:25,592 : Epoch 0, validation loss: 89.978243
2017-12-25 21:50:25,742 : Training checkpoint has been saved.
2017-12-25 21:50:25,742 : Epoch 1 started:
2017-12-25 21:50:26,040 : Iter 0, training loss: 85.764336
2017-12-25 21:50:28,472 : Iter 10, training loss: 50.161962
2017-12-25 21:50:31,014 : Iter 20, training loss: 46.508033
2017-12-25 21:50:33,867 : Iter 30, training loss: 52.043023
2017-12-25 21:50:36,488 : Iter 40, training loss: 52.250513
2017-12-25 21:50:39,162 : Iter 50, training loss: 50.794948
2017-12-25 21:50:41,627 : Iter 60, training loss: 48.073903
2017-12-25 21:50:44,227 : Iter 70, training loss: 49.581850
2017-12-25 21:50:46,639 : Iter 80, training loss: 49.241403
2017-12-25 21:50:49,030 : Iter 90, training loss: 47.930020
2017-12-25 21:50:51,529 : Iter 100, training loss: 47.437786
2017-12-25 21:50:54,064 : Iter 110, training loss: 48.002931
2017-12-25 21:50:56,648 : Iter 120, training loss: 47.657936
2017-12-25 21:50:59,113 : Iter 130, training loss: 47.907497
2017-12-25 21:51:01,747 : Iter 140, training loss: 47.920457
2017-12-25 21:51:04,252 : Iter 150, training loss: 48.559165
2017-12-25 21:51:07,031 : Iter 160, training loss: 49.524997
2017-12-25 21:51:09,405 : Iter 170, training loss: 49.142041
2017-12-25 21:51:11,975 : Iter 180, training loss: 48.697279
2017-12-25 21:51:14,549 : Iter 190, training loss: 48.180642
2017-12-25 21:51:17,063 : Iter 200, training loss: 49.297579
2017-12-25 21:51:19,630 : Iter 210, training loss: 48.993130
2017-12-25 21:51:22,309 : Iter 220, training loss: 49.094385
2017-12-25 21:51:24,889 : Iter 230, training loss: 48.535878
2017-12-25 21:51:27,311 : Iter 240, training loss: 48.504873
2017-12-25 21:51:29,736 : Iter 250, training loss: 48.039572
2017-12-25 21:51:32,287 : Iter 260, training loss: 47.997650
2017-12-25 21:51:34,621 : Iter 270, training loss: 47.936860
2017-12-25 21:51:37,256 : Iter 280, training loss: 47.483047
2017-12-25 21:51:39,911 : Iter 290, training loss: 46.675255
2017-12-25 21:51:42,270 : Iter 300, training loss: 46.196865
2017-12-25 21:51:44,667 : Iter 310, training loss: 45.600605
2017-12-25 21:51:47,068 : Iter 320, training loss: 45.203538
2017-12-25 21:51:49,524 : Iter 330, training loss: 44.716399
2017-12-25 21:51:52,208 : Iter 340, training loss: 44.764287
2017-12-25 21:51:54,782 : Iter 350, training loss: 44.623236
2017-12-25 21:51:55,946 : Epoch 1, training loss: 44.414550
2017-12-25 21:51:57,527 : Epoch 1, validation loss: 27.642554
2017-12-25 21:51:57,681 : Training checkpoint has been saved.
2017-12-25 21:51:57,681 : Epoch 2 started:
2017-12-25 21:51:58,030 : Iter 0, training loss: 20.717256
2017-12-25 21:52:00,438 : Iter 10, training loss: 26.905607
2017-12-25 21:52:02,992 : Iter 20, training loss: 28.793202
2017-12-25 21:52:05,346 : Iter 30, training loss: 30.142028
2017-12-25 21:52:07,830 : Iter 40, training loss: 30.872648
2017-12-25 21:52:10,559 : Iter 50, training loss: 29.992896
2017-12-25 21:52:13,108 : Iter 60, training loss: 28.902407
2017-12-25 21:52:15,622 : Iter 70, training loss: 28.968081
2017-12-25 21:52:18,047 : Iter 80, training loss: 28.431465
2017-12-25 21:52:20,580 : Iter 90, training loss: 29.016510
2017-12-25 21:52:23,125 : Iter 100, training loss: 28.262073
2017-12-25 21:52:25,839 : Iter 110, training loss: 27.689019
2017-12-25 21:52:28,184 : Iter 120, training loss: 28.864621
2017-12-25 21:52:30,602 : Iter 130, training loss: 29.051636
2017-12-25 21:52:32,986 : Iter 140, training loss: 28.452410
2017-12-25 21:52:35,574 : Iter 150, training loss: 28.138956
2017-12-25 21:52:38,124 : Iter 160, training loss: 28.778206
2017-12-25 21:52:40,566 : Iter 170, training loss: 28.592763
2017-12-25 21:52:43,230 : Iter 180, training loss: 28.552415
2017-12-25 21:52:45,778 : Iter 190, training loss: 28.156300
2017-12-25 21:52:48,181 : Iter 200, training loss: 28.444758
2017-12-25 21:52:50,545 : Iter 210, training loss: 28.093764
2017-12-25 21:52:53,106 : Iter 220, training loss: 28.937782
2017-12-25 21:52:55,735 : Iter 230, training loss: 28.763882
2017-12-25 21:52:58,176 : Iter 240, training loss: 28.951798
2017-12-25 21:53:00,541 : Iter 250, training loss: 28.994653
2017-12-25 21:53:03,038 : Iter 260, training loss: 28.969573
2017-12-25 21:53:05,775 : Iter 270, training loss: 29.580049
2017-12-25 21:53:08,126 : Iter 280, training loss: 29.731116
2017-12-25 21:53:10,726 : Iter 290, training loss: 29.736471
2017-12-25 21:53:13,236 : Iter 300, training loss: 29.493486
2017-12-25 21:53:15,809 : Iter 310, training loss: 29.438439
2017-12-25 21:53:18,337 : Iter 320, training loss: 29.282620
2017-12-25 21:53:20,877 : Iter 330, training loss: 29.339219
2017-12-25 21:53:23,376 : Iter 340, training loss: 29.125662
2017-12-25 21:53:25,990 : Iter 350, training loss: 28.837672
2017-12-25 21:53:27,157 : Epoch 2, training loss: 28.967276
2017-12-25 21:53:28,877 : Epoch 2, validation loss: 21.925234
2017-12-25 21:53:29,000 : Training checkpoint has been saved.
2017-12-25 21:53:29,000 : Epoch 3 started:
2017-12-25 21:53:29,235 : Iter 0, training loss: 15.772693
2017-12-25 21:53:31,832 : Iter 10, training loss: 15.081326
2017-12-25 21:53:34,331 : Iter 20, training loss: 18.964220
2017-12-25 21:53:36,859 : Iter 30, training loss: 18.775909
2017-12-25 21:53:39,411 : Iter 40, training loss: 19.650203
2017-12-25 21:53:41,834 : Iter 50, training loss: 20.206585
2017-12-25 21:53:44,267 : Iter 60, training loss: 21.122427
2017-12-25 21:53:46,871 : Iter 70, training loss: 22.013820
2017-12-25 21:53:49,387 : Iter 80, training loss: 22.448919
2017-12-25 21:53:51,940 : Iter 90, training loss: 21.958627
2017-12-25 21:53:54,446 : Iter 100, training loss: 21.722011
2017-12-25 21:53:56,902 : Iter 110, training loss: 22.328508
2017-12-25 21:53:59,518 : Iter 120, training loss: 22.360534
2017-12-25 21:54:02,062 : Iter 130, training loss: 21.947534
2017-12-25 21:54:04,633 : Iter 140, training loss: 21.266952
2017-12-25 21:54:07,254 : Iter 150, training loss: 21.267011
2017-12-25 21:54:09,578 : Iter 160, training loss: 21.788219
2017-12-25 21:54:12,130 : Iter 170, training loss: 21.775384
2017-12-25 21:54:14,567 : Iter 180, training loss: 21.874538
2017-12-25 21:54:17,100 : Iter 190, training loss: 21.906329
2017-12-25 21:54:19,623 : Iter 200, training loss: 22.554529
2017-12-25 21:54:22,260 : Iter 210, training loss: 22.369225
2017-12-25 21:54:24,655 : Iter 220, training loss: 22.329563
2017-12-25 21:54:27,172 : Iter 230, training loss: 22.467321
2017-12-25 21:54:29,547 : Iter 240, training loss: 22.444107
2017-12-25 21:54:32,164 : Iter 250, training loss: 22.267427
2017-12-25 21:54:34,849 : Iter 260, training loss: 22.043383
2017-12-25 21:54:37,615 : Iter 270, training loss: 21.844093
2017-12-25 21:54:40,024 : Iter 280, training loss: 21.656232
2017-12-25 21:54:42,427 : Iter 290, training loss: 21.663223
2017-12-25 21:54:44,936 : Iter 300, training loss: 21.557346
2017-12-25 21:54:47,324 : Iter 310, training loss: 21.545920
